5.0000000000000000,15.0000000000000000,25.0000000000000000,35.0000000000000000,45.0000000000000000,55.0000000000000000,65.0000000000000000,75.0000000000000000,85.0000000000000000,95.0000000000000000,105.0000000000000000,115.0000000000000000,125.0000000000000000,135.0000000000000000,145.0000000000000000,155.0000000000000000,165.0000000000000000,175.0000000000000000,185.0000000000000000,195.0000000000000000,205.0000000000000000,215.0000000000000000,225.0000000000000000,235.0000000000000000,245.0000000000000000,255.0000000000000000,265.0000000000000000,275.0000000000000000,285.0000000000000000,295.0000000000000000,305.0000000000000000,315.0000000000000000,325.0000000000000000,335.0000000000000000,345.0000000000000000,355.0000000000000000,365.0000000000000000,375.0000000000000000,385.0000000000000000,395.0000000000000000,405.0000000000000000,415.0000000000000000,425.0000000000000000,435.0000000000000000,445.0000000000000000,455.0000000000000000,465.0000000000000000,475.0000000000000000,485.0000000000000000,495.0000000000000000,505.0000000000000000,515.0000000000000000,525.0000000000000000,535.0000000000000000,545.0000000000000000,555.0000000000000000,565.0000000000000000,575.0000000000000000,585.0000000000000000,595.0000000000000000,605.0000000000000000,615.0000000000000000,625.0000000000000000,635.0000000000000000,645.0000000000000000,655.0000000000000000,665.0000000000000000,675.0000000000000000,685.0000000000000000,695.0000000000000000,705.0000000000000000,715.0000000000000000,725.0000000000000000,735.0000000000000000,745.0000000000000000,755.0000000000000000,765.0000000000000000,775.0000000000000000,785.0000000000000000,795.0000000000000000,805.0000000000000000,815.0000000000000000,825.0000000000000000,835.0000000000000000,845.0000000000000000,855.0000000000000000,865.0000000000000000,875.0000000000000000,885.0000000000000000,895.0000000000000000,905.0000000000000000,915.0000000000000000,925.0000000000000000,935.0000000000000000,945.0000000000000000,955.0000000000000000,965.0000000000000000,975.0000000000000000,985.0000000000000000,995.0000000000000000
15,12,22,29,27,15,12,10,37,16,18,17,26,41,13,24,11,16,41,28,21,24,30,11,18,30,19,15,23,15,15,26,37,24,20,14,14,41,11,8,13,28,25,12,18,17,23,8,6,23,16,33,10,26,14,10,15,8,15,12,24,6,19,7,10,24,12,12,13,19,25,14,9,21,13,14,12,15,16,9,9,13,4,24,10,12,6,14,10,9,16,10,19,7,15,15,13,6,11,16
15,46,29,19,24,16,8,16,4,24,11,16,18,19,6,25,18,8,30,11,10,32,27,41,9,13,6,27,27,29,13,12,32,16,18,20,35,6,14,32,25,15,27,25,25,17,26,32,21,11,21,23,11,15,9,23,18,12,18,14,20,14,20,18,19,10,12,13,14,15,24,21,9,13,11,14,24,11,9,14,8,10,13,13,15,12,15,15,22,13,14,9,14,12,18,11,12,15,9,18
15,7,15,49,10,13,11,14,29,19,12,11,19,12,18,26,12,9,21,22,6,15,29,19,36,9,12,22,13,29,14,24,28,32,18,20,20,19,7,15,7,16,13,27,8,18,16,13,17,13,18,7,29,7,16,16,28,14,13,18,14,14,14,31,10,15,11,18,14,14,18,13,12,21,13,11,10,14,27,14,10,16,9,11,14,23,16,9,16,19,11,10,17,17,5,8,10,14,8,5
21,14,9,10,8,40,33,16,12,26,27,24,11,16,16,27,46,21,11,7,15,55,48,13,14,10,5,42,10,20,24,15,19,18,26,9,31,7,12,25,40,6,23,20,12,17,16,13,15,21,11,24,10,19,25,25,15,8,26,12,38,30,9,23,28,10,13,14,23,12,22,13,19,20,12,18,5,23,18,24,18,8,13,13,5,18,10,11,12,11,15,14,19,15,11,15,9,17,10,12
31,32,41,17,23,12,15,10,16,7,8,4,20,23,15,9,10,17,10,26,7,15,31,21,16,13,13,11,5,18,8,16,16,8,19,26,17,21,8,21,17,9,9,19,12,7,15,15,17,14,29,29,21,18,12,30,7,14,24,16,19,7,18,24,42,16,14,6,15,11,12,12,10,15,10,13,23,11,32,11,8,20,7,9,16,15,11,8,12,9,16,13,10,13,14,12,14,17,14,15
27,9,32,10,35,9,16,14,7,37,12,12,17,10,8,9,31,39,26,19,16,14,14,17,11,5,9,30,17,22,20,46,5,19,7,18,39,10,15,21,19,17,7,20,9,14,13,10,22,9,14,21,11,19,24,18,18,5,13,9,8,18,12,17,22,15,13,13,19,16,7,10,25,19,10,10,14,18,16,8,12,8,6,12,10,16,13,7,10,4,6,17,14,11,10,13,7,17,17,10
31,16,35,14,4,18,19,24,25,14,16,17,20,10,22,17,17,24,11,13,11,17,12,14,22,14,9,20,21,13,20,20,13,18,6,30,20,8,15,12,31,16,8,22,7,28,11,28,19,15,10,12,13,20,21,9,17,24,6,19,19,14,14,16,8,9,15,19,7,22,15,17,12,14,11,23,14,12,9,16,10,18,17,21,12,11,11,13,16,8,13,10,18,13,17,18,13,14,10,12
15,9,32,12,8,12,17,7,18,12,25,38,11,8,22,15,16,24,33,20,16,19,22,11,13,16,14,30,31,10,38,13,35,14,18,34,22,21,16,4,10,14,19,17,20,17,25,12,11,17,28,17,14,17,15,11,9,31,19,29,14,15,26,16,13,31,10,16,10,11,6,21,13,16,22,26,19,20,22,13,19,12,11,21,7,18,11,8,13,18,13,9,8,14,12,5,13,10,9,13
2,19,5,26,15,33,19,33,17,16,23,20,31,8,16,16,18,23,14,13,18,11,16,11,18,17,38,56,21,23,12,9,7,21,28,14,36,18,16,22,16,10,8,23,26,4,13,30,15,15,16,28,5,22,31,34,17,15,21,25,22,14,12,9,11,17,23,18,19,23,13,8,16,20,15,14,4,12,13,9,6,21,15,17,15,19,12,14,11,12,14,15,7,12,12,6,18,17,11,19
12,8,8,25,4,8,30,11,8,20,8,38,14,29,17,13,6,21,28,8,24,21,26,10,15,9,10,17,21,15,21,28,28,11,33,15,8,39,29,13,8,25,16,18,8,24,21,19,17,18,17,10,27,24,8,17,15,6,19,12,19,16,7,21,15,29,17,16,10,7,11,21,14,12,7,13,19,17,12,18,18,10,10,13,14,21,16,8,12,15,8,7,10,17,11,20,13,10,13,19
21,38,8,18,28,24,34,23,16,10,15,33,32,41,5,32,11,21,35,14,8,14,37,53,12,23,25,44,31,20,19,17,20,26,15,17,17,17,17,12,13,28,19,22,11,26,15,12,25,19,10,21,14,13,8,11,10,25,8,12,15,13,14,8,11,17,17,11,30,12,19,22,13,16,18,17,24,17,16,10,10,23,8,13,26,17,13,20,12,17,15,18,9,19,13,11,12,8,17,10
26,10,20,17,15,74,7,13,23,24,7,12,16,11,21,19,47,11,33,23,22,5,27,13,8,23,22,28,11,8,21,17,17,16,11,15,21,31,5,11,25,17,29,8,25,24,20,8,20,16,19,19,30,13,9,23,18,11,14,20,11,7,10,10,7,21,21,23,18,20,16,16,11,15,11,16,10,14,14,12,15,7,11,13,7,17,5,15,12,14,10,12,12,17,8,11,11,14,11,9
9,18,9,23,18,13,15,30,7,13,7,11,13,46,41,18,17,12,9,8,7,18,9,25,19,24,27,6,11,12,24,15,11,12,8,29,6,22,25,11,25,23,15,27,11,8,22,16,25,16,5,13,10,28,29,14,8,14,10,11,12,11,13,19,14,11,18,12,19,13,15,19,18,17,7,11,9,12,17,9,8,13,22,9,17,11,17,10,14,8,13,18,14,17,10,18,18,15,12,9
8,8,16,16,26,15,28,9,18,20,24,19,11,40,25,26,12,38,19,22,13,32,26,29,22,12,13,19,10,22,12,16,12,9,16,20,24,6,17,12,23,11,15,24,9,11,6,6,13,20,25,20,14,12,16,29,9,12,12,12,22,12,9,23,24,15,14,13,24,7,14,9,10,18,8,9,9,25,10,17,25,19,23,17,17,19,11,14,15,14,9,21,11,9,14,18,18,6,11,32
