500.0000000000000000,750.0000000000000000,1000.0000000000000000,2500.0000000000000000,5000.0000000000000000,7500.0000000000000000,10000.0000000000000000,25000.0000000000000000,50000.0000000000000000
39,28,15,9,6,2,5,1,1
14,22,24,6,4,1,1,3,1
50,37,22,11,8,2,1,3,1
40,17,18,16,6,6,2,1,1
32,28,24,11,3,4,4,1,1
19,23,18,14,5,4,1,1,1
32,41,20,11,1,7,2,2,1
51,27,18,11,7,2,3,1,1
36,39,22,9,9,2,2,1,1
41,20,19,10,7,1,5,1,1
52,30,21,10,6,5,3,1,1
26,22,14,10,4,2,2,1,1
33,25,13,14,4,10,5,1,1
35,44,14,13,7,3,1,2,1
22,15,22,6,2,5,2,1,1
20,10,22,15,3,2,2,2,1
24,28,32,17,4,4,5,2,1
22,25,26,11,4,3,6,3,1
18,14,17,10,4,9,5,1,1
24,27,20,9,10,4,2,1,1
23,34,25,11,6,4,1,1,1
53,28,24,7,6,3,3,1,1
24,12,19,15,3,4,3,1,1
23,30,34,10,6,5,3,1,1
37,33,33,6,2,1,1,3,1
14,26,27,8,7,2,3,1,1
18,17,30,15,2,4,5,1,1
33,31,25,9,5,5,3,3,1
21,40,15,10,5,3,4,1,2
30,22,21,5,5,3,2,1,1
40,19,19,10,9,2,3,1,1
47,30,5,8,5,4,3,3,2
40,18,15,13,6,6,1,1,1
49,25,10,13,4,6,4,1,1
18,29,29,6,7,2,1,1,1
26,31,20,5,4,5,3,1,1
44,33,14,13,5,3,1,1,1
47,41,32,12,5,4,2,1,1
27,15,19,12,6,4,3,1,1
33,36,23,10,4,2,3,1,1
36,31,20,12,4,7,3,1,1
13,46,18,12,5,1,3,3,1
29,22,28,10,2,3,5,1,1
15,29,19,10,4,5,3,2,2
35,15,15,13,2,2,2,1,1
12,43,24,6,4,1,2,2,1
21,26,34,9,4,3,2,1,1
13,26,17,10,1,5,2,1,1
23,33,23,5,6,6,1,1,1
52,31,34,23,4,5,2,3,1
